session,species,size_bin,SVC_abundance,prey_abundance,pred_abundance,size_bin_lengths
142,threespot damselfish,2,1,3,0,6.506205
142,white grunt,5,1,6,0,22.657
142,sergeant major,3,1,0,0,11.40044
142,stoplight parrotfish,2,1,3,0,6.506205
142,sharpnose puffer,1,1,0,0,3.265599
142,bar jack,2,1,0,0,6.506205
142,striped parrotfish,2,1,1,0,6.506205
142,yellowtail snapper,4,11.25,0,0,16.60974
142,bluehead wrasse,3,1.75,4,0,11.40044
142,redband parrotfish,3,1.5,2,0,11.40044
142,beaugregory,2,0,2,0,6.506205
142,bicolor damselfish,1,0,3,0,3.265599
142,black hamlet,2,0,1,0,6.506205
142,bluestriped grunt,4,0,1,0,16.60974
142,bridled goby,1,0,1,0,3.265599
142,bridled goby,2,0,1,0,6.506205
142,butter hamlet,2,0,1,0,6.506205
142,goldspot goby,1,0,1,0,3.265599
142,highhat,3,0,1,0,11.40044
142,neon goby,1,0,1,0,3.265599
142,roughhead blenny,1,0,2,0,3.265599
142,schoolmaster snapper,4,0,1,0,16.60974
142,sharpnose puffer,2,0,1,0,6.506205
142,slippery dick,2,0,1,0,6.506205
142,stoplight parrotfish,1,0,2,0,3.265599
142,stoplight parrotfish,3,0,1,0,11.40044
142,striped parrotfish,3,0,4,0,11.40044
142,white grunt,3,0,7,0,11.40044
142,white grunt,4,0,9,0,16.60974
142,yellowhead wrasse,2,0,2,0,6.506205
142,green moray,6,0,0,1,42.62977
142,spotted scorpionfish,5,0,0,1,22.657
143,clown wrasse,2,1,4,0,6.506205
143,foureye butterflyfish,3,2,0,0,11.40044
143,slender filefish,1,1,0,0,3.265599
143,greenblotch parrotfish,1,1,0,0,3.265599
143,bluehead wrasse,1,1,39,0,3.265599
143,redband parrotfish,1,1,29,0,3.265599
143,yellowhead wrasse,2,6,23,0,6.506205
143,slippery dick,1,1,0,0,3.265599
143,bicolor damselfish,1,7.5,39,0,3.265599
143,bluehead wrasse,2,12,94,0,6.506205
143,redband parrotfish,2,3,21,0,6.506205
143,slippery dick,2,5,4,0,6.506205
143,smooth trunkfish,5,1,0,0,22.657
143,white grunt,4,1,0,0,16.60974
143,ocean surgeonfish,3,1,1,0,11.40044
143,graysby,4,1,2,2,16.60974
143,sharpnose puffer,1,1,5,0,3.265599
143,lantern bass,2,1,0,0,6.506205
143,greenblotch parrotfish,2,3,2,0,6.506205
143,redband parrotfish,3,8,1,0,11.40044
143,redband parrotfish,4,4,1,0,16.60974
143,bicolor damselfish,2,2.5,43,0,6.506205
143,clown wrasse,3,1,2,0,11.40044
143,slender filefish,2,1,0,0,6.506205
143,bluehead wrasse,3,1,6,0,11.40044
143,banded butterflyfish,3,0,2,0,11.40044
143,bar jack,5,0,6,0,22.657
143,beaugregory,2,0,1,0,6.506205
143,blue chromis,2,0,1,0,6.506205
143,blue chromis,3,0,1,0,11.40044
143,bridled goby,1,0,7,0,3.265599
143,bridled goby,2,0,8,0,6.506205
143,butter hamlet,2,0,1,0,6.506205
143,clown wrasse,1,0,1,0,3.265599
143,colon goby,1,0,14,0,3.265599
143,colon goby,2,0,8,0,6.506205
143,creole wrasse,2,0,6,0,6.506205
143,doctorfish,5,0,1,0,22.657
143,foureye butterflyfish,2,0,2,0,6.506205
143,goldspot goby,1,0,22,0,3.265599
143,goldspot goby,2,0,16,0,6.506205
143,graysby,3,0,1,0,11.40044
143,graysby,5,0,2,4,22.657
143,harlequin bass,2,0,4,0,6.506205
143,harlequin bass,3,0,1,0,11.40044
143,highhat,3,0,1,0,11.40044
143,longfin damselfish,2,0,1,0,6.506205
143,longfin damselfish,3,0,5,0,11.40044
143,masked goby,1,0,14,0,3.265599
143,masked goby,2,0,1,0,6.506205
143,ocean surgeonfish,4,0,2,0,16.60974
143,ocean surgeonfish,5,0,2,0,22.657
143,pallid goby,1,0,3,0,3.265599
143,redband parrotfish,5,0,4,0,22.657
143,rock beauty,1,0,1,0,3.265599
143,roughhead blenny,1,0,6,0,3.265599
143,scrawled filefish,6,0,1,0,42.62977
143,sergeant major,3,0,1,0,11.40044
143,sharpnose puffer,2,0,2,0,6.506205
143,spanish hogfish,5,0,1,0,22.657
143,spotfin butterflyfish,3,0,2,0,11.40044
143,stoplight parrotfish,1,0,2,0,3.265599
143,stoplight parrotfish,2,0,1,0,6.506205
143,stoplight parrotfish,5,0,1,0,22.657
143,stoplight parrotfish,6,0,1,0,42.62977
143,striped parrotfish,1,0,2,0,3.265599
143,striped parrotfish,2,0,1,0,6.506205
143,trumpetfish,6,0,1,0,42.62977
143,white grunt,3,0,1,0,11.40044
143,white grunt,5,0,1,0,22.657
143,yellowhead wrasse,1,0,2,0,3.265599
143,yellowhead wrasse,3,0,1,0,11.40044
143,yellowtail damselfish,3,0,1,0,11.40044
143,yellowtail snapper,4,0,1,0,16.60974
143,yellowtail snapper,5,0,1,0,22.657
143,spotted moray,6,0,0,1,42.62977
144,yellowhead wrasse,2,1,1,0,6.506205
144,ocean surgeonfish,3,1,0,0,11.40044
144,spotted goatfish,5,2,0,0,22.657
144,scrawled filefish,6,2,1,0,42.62977
144,blue tang,4,1,0,0,16.60974
144,reef butterflyfish,2,3,0,0,6.506205
144,bicolor damselfish,1,10,5,0,3.265599
144,blue chromis,2,5,0,0,6.506205
144,bluehead wrasse,1,1,5,0,3.265599
144,princess parrotfish,4,1,0,0,16.60974
144,striped parrotfish,2,6.75,0,0,6.506205
144,masked goby,1,37.5,304,0,3.265599
144,bluehead wrasse,2,5.75,63,0,6.506205
144,princess parrotfish,5,2.75,0,0,22.657
144,harlequin bass,2,1,0,0,6.506205
144,blue parrotfish,6,1,0,0,42.62977
144,graysby,4,1,0,1,16.60974
144,rock beauty,3,1,0,0,11.40044
144,white grunt,5,1,0,0,22.657
144,cocoa damselfish,2,1,0,0,6.506205
144,sharpnose puffer,2,1,4,0,6.506205
144,yellowtail parrotfish,6,1,0,0,42.62977
144,brown chromis,2,1,0,0,6.506205
144,orangespotted filefish,6,1,0,0,42.62977
144,redband parrotfish,5,1,0,0,22.657
144,foureye butterflyfish,2,1,0,0,6.506205
144,spanish hogfish,4,1,0,0,16.60974
144,stoplight parrotfish,6,1,0,0,42.62977
144,greenblotch parrotfish,2,1,2,0,6.506205
144,cero,6,1,0,0,42.62977
144,clown wrasse,2,1,0,0,6.506205
144,blue tang,5,2,0,0,22.657
144,bicolor damselfish,2,30,14,0,6.506205
144,bluehead wrasse,3,2.25,7,0,11.40044
144,princess parrotfish,6,1.25,0,0,42.62977
144,striped parrotfish,3,2.25,0,0,11.40044
144,masked goby,2,12.5,5,0,6.506205
144,yellowhead wrasse,3,1,0,0,11.40044
144,ocean surgeonfish,4,1,0,0,16.60974
144,reef butterflyfish,3,1,0,0,11.40044
144,blue chromis,3,1,0,0,11.40044
144,beaugregory,2,0,1,0,6.506205
144,bridled goby,1,0,3,0,3.265599
144,bridled goby,2,0,13,0,6.506205
144,butter hamlet,3,0,2,0,11.40044
144,creole wrasse,1,0,1,0,3.265599
144,doctorfish,4,0,1,0,16.60974
144,goldspot goby,1,0,3,0,3.265599
144,goldspot goby,2,0,2,0,6.506205
144,gray angelfish,6,0,2,0,42.62977
144,greenblotch parrotfish,1,0,1,0,3.265599
144,longfin damselfish,2,0,1,0,6.506205
144,pallid goby,1,0,6,0,3.265599
144,pallid goby,2,0,2,0,6.506205
144,princess parrotfish,2,0,2,0,6.506205
144,princess parrotfish,3,0,1,0,11.40044
144,redband parrotfish,1,0,3,0,3.265599
144,redband parrotfish,2,0,2,0,6.506205
144,redband parrotfish,3,0,2,0,11.40044
144,sharpnose puffer,1,0,2,0,3.265599
144,stoplight parrotfish,2,0,1,0,6.506205
144,striped parrotfish,1,0,2,0,3.265599
144,yellowhead wrasse,1,0,1,0,3.265599
144,black grouper,6,0,0,1,42.62977
144,graysby,5,0,0,5,22.657
144,graysby,6,0,0,2,42.62977
144,lionfish,5,0,0,1,22.657
144,lionfish,6,0,0,2,42.62977
144,nassau grouper,6,0,0,1,42.62977
145,cocoa damselfish,2,2,0,0,6.506205
145,gray snapper,5,2,1,0,22.657
145,trumpetfish,6,2,1,2,42.62977
145,bar jack,2,1,0,0,6.506205
145,yellowhead wrasse,2,3,1,0,6.506205
145,bluehead wrasse,2,7,6,0,6.506205
145,striped parrotfish,1,6.25,0,0,3.265599
145,yellowtail snapper,3,1,1,0,11.40044
145,white grunt,4,1,7,0,16.60974
145,slippery dick,2,1,0,0,6.506205
145,blue tang,3,1,0,0,11.40044
145,redband parrotfish,3,1,3,0,11.40044
145,stoplight parrotfish,3,1,2,0,11.40044
145,townsend angelfish,3,1,0,0,11.40044
145,banded butterflyfish,3,1,0,0,11.40044
145,bluestriped grunt,4,1,1,0,16.60974
145,puddingwife,2,1,1,0,6.506205
145,striped parrotfish,2,18.75,18,0,6.506205
145,bar jack,3,1,0,0,11.40044
145,bluehead wrasse,3,1,0,0,11.40044
145,beaugregory,2,0,2,0,6.506205
145,bicolor damselfish,2,0,1,0,6.506205
145,blue parrotfish,3,0,1,0,11.40044
145,bluestriped grunt,3,0,1,0,11.40044
145,bluestriped grunt,5,0,1,0,22.657
145,bluestriped grunt,6,0,1,0,42.62977
145,bridled goby,1,0,2,0,3.265599
145,butter hamlet,2,0,2,0,6.506205
145,doctorfish,4,0,1,0,16.60974
145,foureye butterflyfish,2,0,1,0,6.506205
145,french grunt,4,0,3,0,16.60974
145,goldspot goby,2,0,1,0,6.506205
145,masked goby,1,0,6,0,3.265599
145,midnight parrotfish,2,0,1,0,6.506205
145,ocean surgeonfish,4,0,1,0,16.60974
145,queen angelfish,3,0,1,0,11.40044
145,redband parrotfish,1,0,5,0,3.265599
145,redband parrotfish,2,0,10,0,6.506205
145,redband parrotfish,4,0,1,0,16.60974
145,sharpnose puffer,2,0,2,0,6.506205
145,smooth trunkfish,4,0,1,0,16.60974
145,stoplight parrotfish,1,0,6,0,3.265599
145,stoplight parrotfish,2,0,12,0,6.506205
145,stoplight parrotfish,5,0,2,0,22.657
145,striped parrotfish,3,0,4,0,11.40044
145,threespot damselfish,2,0,2,0,6.506205
145,yellowtail snapper,4,0,1,0,16.60974
145,lionfish,5,0,0,1,22.657
145,red grouper,6,0,0,2,42.62977
146,white grunt,4,1,18,0,16.60974
146,blue tang,4,1,0,0,16.60974
146,atlantic spadefish,5,1,0,0,22.657
146,bluestriped grunt,4,1,1,0,16.60974
146,bicolor damselfish,1,1,0,0,3.265599
146,bluehead wrasse,2,11,1,0,6.506205
146,redband parrotfish,1,6.75,11,0,3.265599
146,stoplight parrotfish,1,3.75,4,0,3.265599
146,striped parrotfish,1,5,9,0,3.265599
146,yellow chub,5,1,0,0,22.657
146,yellowtail snapper,3,13,0,0,11.40044
146,bar jack,2,6.75,0,0,6.506205
146,masked goby,1,10,11,0,3.265599
146,yellow chub,6,12,0,0,42.62977
146,slippery dick,2,1,0,0,6.506205
146,spotted moray,6,1,0,2,42.62977
146,harlequin bass,2,1,0,0,6.506205
146,gray snapper,5,1,6,0,22.657
146,ocean surgeonfish,3,1,1,0,11.40044
146,queen angelfish,5,1,0,0,22.657
146,beaugregory,1,1,1,0,3.265599
146,french angelfish,6,1,0,0,42.62977
146,gray angelfish,6,1,0,0,42.62977
146,blue parrotfish,2,1,0,0,6.506205
146,goldspot goby,2,1,0,0,6.506205
146,reef butterflyfish,2,1,0,0,6.506205
146,doctorfish,3,1,0,0,11.40044
146,yellowhead wrasse,4,1,0,0,16.60974
146,bluestriped grunt,5,2,14,0,22.657
146,bicolor damselfish,2,2,0,0,6.506205
146,striped parrotfish,2,14,13,0,6.506205
146,redband parrotfish,2,1.25,31,0,6.506205
146,stoplight parrotfish,2,1.25,10,0,6.506205
146,bar jack,3,2.25,0,0,11.40044
146,white grunt,5,1,13,0,22.657
146,blue tang,5,1,0,0,22.657
146,atlantic spadefish,6,1,0,0,42.62977
146,bluehead wrasse,3,1,0,0,11.40044
146,redband parrotfish,3,1,1,0,11.40044
146,striped parrotfish,3,1,1,0,11.40044
146,beaugregory,2,0,2,0,6.506205
146,butter hamlet,2,0,1,0,6.506205
146,butter hamlet,3,0,2,0,11.40044
146,clown wrasse,2,0,1,0,6.506205
146,colon goby,1,0,3,0,3.265599
146,french grunt,3,0,1,0,11.40044
146,french grunt,4,0,1,0,16.60974
146,gray snapper,4,0,1,0,16.60974
146,gray snapper,6,0,1,0,42.62977
146,midnight parrotfish,5,0,1,0,22.657
146,ocean surgeonfish,5,0,1,0,22.657
146,pallid goby,2,0,1,0,6.506205
146,redband parrotfish,4,0,1,0,16.60974
146,schoolmaster snapper,5,0,1,0,22.657
146,schoolmaster snapper,6,0,1,0,42.62977
146,sharpnose puffer,2,0,2,0,6.506205
146,stoplight parrotfish,3,0,3,0,11.40044
146,stoplight parrotfish,4,0,1,0,16.60974
146,stoplight parrotfish,5,0,1,0,22.657
146,stoplight parrotfish,6,0,1,0,42.62977
146,yellowtail snapper,4,0,1,0,16.60974
147,blue tang,3,1,0,0,11.40044
147,doctorfish,5,2,0,0,22.657
147,clown wrasse,2,1,0,0,6.506205
147,greenblotch parrotfish,2,2,0,0,6.506205
147,ocean surgeonfish,3,1,0,0,11.40044
147,reef butterflyfish,2,1,0,0,6.506205
147,yellowhead wrasse,1,1,2,0,3.265599
147,trumpetfish,4,1,0,0,16.60974
147,blue chromis,2,1,1,0,6.506205
147,bluelip parrotfish,1,1,0,0,3.265599
147,striped parrotfish,2,1,0,0,6.506205
147,sharpnose puffer,1,3.75,13,0,3.265599
147,bicolor damselfish,1,1,23,0,3.265599
147,bluehead wrasse,1,1,0,0,3.265599
147,redband parrotfish,1,1,8,0,3.265599
147,princess parrotfish,2,1.5,8,0,6.506205
147,masked goby,1,9,0,0,3.265599
147,atlantic spadefish,6,20,0,0,42.62977
147,creole wrasse,2,75,0,0,6.506205
147,bicolor damselfish,2,38,33,0,6.506205
147,bluehead wrasse,2,28,32,0,6.506205
147,redband parrotfish,2,5,7,0,6.506205
147,porkfish,6,1,0,0,42.62977
147,white grunt,4,1,0,0,16.60974
147,french grunt,3,1,0,0,11.40044
147,graysby,4,1,0,1,16.60974
147,hogfish,6,1,0,0,42.62977
147,foureye butterflyfish,2,1,0,0,6.506205
147,brown chromis,3,1,0,0,11.40044
147,gray angelfish,6,1,0,0,42.62977
147,bandtail puffer,3,1,0,0,11.40044
147,queen angelfish,6,1,0,0,42.62977
147,rock beauty,3,1,0,0,11.40044
147,butter hamlet,2,1,0,0,6.506205
147,stoplight parrotfish,6,1,0,0,42.62977
147,harlequin bass,2,1,1,0,6.506205
147,slender filefish,2,1,0,0,6.506205
147,french angelfish,6,1,0,0,42.62977
147,spotted goatfish,4,1,0,0,16.60974
147,mutton snapper,6,1,0,0,42.62977
147,scrawled filefish,6,1,0,0,42.62977
147,blue parrotfish,6,1,0,0,42.62977
147,yellowhead wrasse,2,2,7,0,6.506205
147,trumpetfish,5,2,0,0,22.657
147,blue chromis,3,3,0,0,11.40044
147,bluelip parrotfish,2,3,0,0,6.506205
147,striped parrotfish,3,2,1,0,11.40044
147,princess parrotfish,3,3,0,0,11.40044
147,sharpnose puffer,2,1.25,3,0,6.506205
147,redband parrotfish,4,1,0,0,16.60974
147,princess parrotfish,5,0.5,0,0,22.657
147,creole wrasse,3,25,0,0,11.40044
147,blue tang,4,1,0,0,16.60974
147,clown wrasse,4,1,0,0,16.60974
147,ocean surgeonfish,4,1,0,0,16.60974
147,reef butterflyfish,3,1,0,0,11.40044
147,yellowhead wrasse,4,1,0,0,16.60974
147,trumpetfish,6,1,0,0,42.62977
147,striped parrotfish,5,1,0,0,22.657
147,bicolor damselfish,3,1,0,0,11.40044
147,bluehead wrasse,3,1,3,0,11.40044
147,redband parrotfish,5,1,1,0,22.657
147,princess parrotfish,6,1,0,0,42.62977
147,masked goby,2,1,0,0,6.506205
147,atlantic spadefish,5,0,3,0,22.657
147,bridled goby,1,0,17,0,3.265599
147,bridled goby,2,0,2,0,6.506205
147,butter hamlet,3,0,1,0,11.40044
147,goldspot goby,1,0,6,0,3.265599
147,goldspot goby,2,0,1,0,6.506205
147,graysby,2,0,1,0,6.506205
147,graysby,3,0,2,0,11.40044
147,harlequin bass,1,0,1,0,3.265599
147,longspine squirrelfish,4,0,1,0,16.60974
147,longspine squirrelfish,5,0,2,0,22.657
147,longspine squirrelfish,6,0,1,0,42.62977
147,pallid goby,1,0,1,0,3.265599
147,redband parrotfish,3,0,1,0,11.40044
147,spotfin butterflyfish,3,0,1,0,11.40044
147,yellowhead wrasse,3,0,5,0,11.40044
147,graysby,5,0,0,1,22.657
147,lionfish,5,0,0,2,22.657
147,lionfish,6,0,0,1,42.62977
147,spotted moray,6,0,0,1,42.62977
148,spanish hogfish,1,2,0,0,3.265599
148,sharpnose puffer,1,1,6,0,3.265599
148,graysby,2,1,0,0,6.506205
148,blue tang,3,2,0,0,11.40044
148,reef butterflyfish,3,2,0,0,11.40044
148,doctorfish,4,2,0,0,16.60974
148,blue dartfish,2,2,0,0,6.506205
148,yellowhead wrasse,2,1,14,0,6.506205
148,squirrelfish,5,2,0,0,22.657
148,bluelip parrotfish,1,1,0,0,3.265599
148,princess parrotfish,2,3,2,0,6.506205
148,white grunt,5,3,1,0,22.657
148,bicolor damselfish,1,18.75,38,0,3.265599
148,bluehead wrasse,1,2.75,9,0,3.265599
148,redband parrotfish,2,6.75,14,0,6.506205
148,blue chromis,2,1.25,7,0,6.506205
148,masked goby,1,85,691,0,3.265599
148,brown chromis,3,5,2,0,11.40044
148,harlequin bass,2,1,2,0,6.506205
148,porkfish,5,1,0,0,22.657
148,smooth trunkfish,5,1,0,0,22.657
148,rock beauty,3,1,0,0,11.40044
148,scrawled filefish,6,1,0,0,42.62977
148,butter hamlet,2,1,0,0,6.506205
148,spotted moray,6,1,0,1,42.62977
148,cero,6,1,0,0,42.62977
148,spotted goatfish,3,1,0,0,11.40044
148,banded butterflyfish,4,1,0,0,16.60974
148,creole wrasse,2,1,120,0,6.506205
148,gray angelfish,6,1,0,0,42.62977
148,yellowhead jawfish,2,1,0,0,6.506205
148,striped parrotfish,2,1,3,0,6.506205
148,puddingwife,6,1,0,0,42.62977
148,blue angelfish,6,1,0,0,42.62977
148,yellowhead wrasse,3,2,0,0,11.40044
148,bluelip parrotfish,2,2,0,0,6.506205
148,bicolor damselfish,2,56.25,31,0,6.506205
148,bluehead wrasse,2,7.25,45,0,6.506205
148,blue chromis,3,3.75,0,0,11.40044
148,redband parrotfish,4,1.25,0,0,16.60974
148,sharpnose puffer,2,1,3,0,6.506205
148,graysby,4,1,0,3,16.60974
148,squirrelfish,6,1,2,0,42.62977
148,princess parrotfish,6,1,0,0,42.62977
148,white grunt,6,1,0,0,42.62977
148,bluehead wrasse,3,1,2,0,11.40044
148,redband parrotfish,5,1,0,0,22.657
148,beaugregory,2,0,2,0,6.506205
148,blue chromis,1,0,1,0,3.265599
148,bridled goby,1,0,7,0,3.265599
148,bridled goby,2,0,3,0,6.506205
148,doctorfish,5,0,1,0,22.657
148,foureye butterflyfish,2,0,4,0,6.506205
148,goldspot goby,1,0,17,0,3.265599
148,goldspot goby,2,0,8,0,6.506205
148,graysby,3,0,2,0,11.40044
148,greenblotch parrotfish,2,0,1,0,6.506205
148,hogfish,6,0,1,0,42.62977
148,neon goby,1,0,1,0,3.265599
148,neon goby,2,0,1,0,6.506205
148,pallid goby,1,0,14,0,3.265599
148,pallid goby,2,0,13,0,6.506205
148,porkfish,2,0,1,0,6.506205
148,queen angelfish,5,0,1,0,22.657
148,redband parrotfish,1,0,16,0,3.265599
148,redband parrotfish,3,0,4,0,11.40044
148,rock beauty,2,0,1,0,6.506205
148,roughhead blenny,1,0,1,0,3.265599
148,spanish hogfish,2,0,1,0,6.506205
148,spotfin butterflyfish,3,0,2,0,11.40044
148,spotted goatfish,4,0,1,0,16.60974
148,stoplight parrotfish,6,0,1,0,42.62977
148,yellowhead wrasse,1,0,3,0,3.265599
148,coney,5,0,0,2,22.657
148,graysby,5,0,0,2,22.657
148,graysby,6,0,0,1,42.62977
148,lionfish,5,0,0,6,22.657
148,lionfish,6,0,0,2,42.62977
148,mutton snapper,6,0,0,1,42.62977
148,spotted scorpionfish,5,0,0,1,22.657
148,spotted scorpionfish,6,0,0,1,42.62977
149,sergeant major,2,2,0,0,6.506205
149,bluehead wrasse,2,3,7,0,6.506205
149,redband parrotfish,2,1.5,8,0,6.506205
149,striped parrotfish,1,1,5,0,3.265599
149,white grunt,3,6,5,0,11.40044
149,striped parrotfish,2,10.25,101,0,6.506205
149,cocoa damselfish,2,1,0,0,6.506205
149,slippery dick,2,1,4,0,6.506205
149,yellowtail damselfish,3,1,0,0,11.40044
149,blue tang,5,1,0,0,22.657
149,ocean surgeonfish,4,1,0,0,16.60974
149,bandtail puffer,3,1,0,0,11.40044
149,spotted moray,6,1,1,2,42.62977
149,yellowhead wrasse,3,1,0,0,11.40044
149,butter hamlet,2,1,3,0,6.506205
149,redband parrotfish,3,4.5,4,0,11.40044
149,striped parrotfish,4,2.75,1,0,16.60974
149,white grunt,4,1,14,0,16.60974
149,bluehead wrasse,3,1,1,0,11.40044
149,striped parrotfish,5,1,0,0,22.657
149,white grunt,5,1,3,0,22.657
149,beaugregory,2,0,2,0,6.506205
149,bicolor damselfish,2,0,2,0,6.506205
149,bluestriped grunt,3,0,2,0,11.40044
149,bluestriped grunt,4,0,12,0,16.60974
149,bluestriped grunt,5,0,4,0,22.657
149,bridled goby,1,0,4,0,3.265599
149,bridled goby,2,0,1,0,6.506205
149,colon goby,1,0,2,0,3.265599
149,french grunt,2,0,101,0,6.506205
149,french grunt,3,0,26,0,11.40044
149,french grunt,4,0,1,0,16.60974
149,goldspot goby,1,0,3,0,3.265599
149,goldspot goby,2,0,1,0,6.506205
149,highhat,3,0,2,0,11.40044
149,puddingwife,2,0,1,0,6.506205
149,puddingwife,3,0,1,0,11.40044
149,redband parrotfish,1,0,3,0,3.265599
149,roughhead blenny,1,0,1,0,3.265599
149,sharpnose puffer,2,0,1,0,6.506205
149,stoplight parrotfish,1,0,3,0,3.265599
149,stoplight parrotfish,2,0,14,0,6.506205
149,stoplight parrotfish,3,0,4,0,11.40044
149,stoplight parrotfish,4,0,1,0,16.60974
149,striped parrotfish,3,0,7,0,11.40044
149,threespot damselfish,1,0,1,0,3.265599
149,threespot damselfish,2,0,7,0,6.506205
149,tomtate,4,0,1,0,16.60974
149,white grunt,2,0,2,0,6.506205
149,yellowhead wrasse,2,0,2,0,6.506205
149,yellowtail snapper,3,0,1,0,11.40044
149,cubera snapper,6,0,0,1,42.62977
149,gag grouper,6,0,0,1,42.62977
149,red grouper,6,0,0,1,42.62977
149,spotted moray,5,0,0,1,22.657
150,cocoa damselfish,2,2,0,0,6.506205
150,ocean surgeonfish,4,2,0,0,16.60974
150,blue tang,2,1,0,0,6.506205
150,stoplight parrotfish,4,1,2,0,16.60974
150,gray snapper,5,7,0,0,22.657
150,bar jack,3,20,0,0,11.40044
150,redband parrotfish,1,2,15,0,3.265599
150,striped parrotfish,1,1,1,0,3.265599
150,striped parrotfish,2,8,36,0,6.506205
150,yellowtail snapper,3,1,0,0,11.40044
150,clown wrasse,2,1,0,0,6.506205
150,black hamlet,3,1,0,0,11.40044
150,spotted moray,6,1,1,0,42.62977
150,slippery dick,2,1,0,0,6.506205
150,white grunt,2,1,14,0,6.506205
150,butter hamlet,3,1,0,0,11.40044
150,trumpetfish,6,1,2,0,42.62977
150,redband parrotfish,2,5,22,0,6.506205
150,striped parrotfish,3,2,0,0,11.40044
150,blue tang,3,1,1,0,11.40044
150,stoplight parrotfish,5,1,0,0,22.657
150,redband parrotfish,3,1,4,0,11.40044
150,striped parrotfish,4,1,0,0,16.60974
150,bicolor damselfish,1,0,2,0,3.265599
150,bicolor damselfish,2,0,1,0,6.506205
150,black hamlet,2,0,2,0,6.506205
150,bluehead wrasse,2,0,20,0,6.506205
150,bluehead wrasse,3,0,3,0,11.40044
150,bluestriped grunt,3,0,1,0,11.40044
150,bluestriped grunt,4,0,1,0,16.60974
150,bluestriped grunt,5,0,3,0,22.657
150,bridled goby,2,0,1,0,6.506205
150,butter hamlet,2,0,3,0,6.506205
150,colon goby,1,0,2,0,3.265599
150,colon goby,2,0,2,0,6.506205
150,dusky damselfish,1,0,1,0,3.265599
150,dusky damselfish,2,0,1,0,6.506205
150,foureye butterflyfish,2,0,1,0,6.506205
150,hogfish,3,0,1,0,11.40044
150,masked goby,1,0,14,0,3.265599
150,queen angelfish,3,0,1,0,11.40044
150,redband parrotfish,4,0,1,0,16.60974
150,redband parrotfish,5,0,5,0,22.657
150,redtail parrotfish,4,0,1,0,16.60974
150,redtail parrotfish,5,0,1,0,22.657
150,roughhead blenny,1,0,5,0,3.265599
150,sand diver,5,0,1,0,22.657
150,sharpnose puffer,2,0,3,0,6.506205
150,stoplight parrotfish,1,0,4,0,3.265599
150,stoplight parrotfish,2,0,13,0,6.506205
150,stoplight parrotfish,3,0,3,0,11.40044
150,threespot damselfish,2,0,6,0,6.506205
150,threespot damselfish,3,0,1,0,11.40044
150,white grunt,3,0,3,0,11.40044
150,white grunt,4,0,22,0,16.60974
150,white grunt,5,0,1,0,22.657
