session,species,size_bin,SVC_prey_abundance,prey_abundance,size_bin_lengths
148,yellowhead wrasse,1,0,4,3.634207
149,sergeant major,1,1,0,3.634207
149,bluehead wrasse,2,3,8,7.528017
149,redband parrotfish,1,1,3,3.634207
149,striped parrotfish,1,1,49,3.634207
149,white grunt,2,1,2,7.528017
149,redband parrotfish,2,3.5,9,7.528017
149,striped parrotfish,2,10.25,61,7.528017
149,white grunt,3,5,12,12.9106
149,cocoa damselfish,2,1,0,7.528017
149,slippery dick,2,1,4,7.528017
149,yellowtail damselfish,3,1,0,12.9106
149,blue tang,5,1,0,24.92811
149,ocean surgeonfish,4,1,0,17.94324
149,bandtail puffer,3,1,0,12.9106
149,spotted moray,6,1,1,47.85287
149,yellowhead wrasse,3,1,0,12.9106
149,butter hamlet,2,1,3,7.528017
149,redband parrotfish,3,1.5,3,12.9106
149,striped parrotfish,4,2.75,1,17.94324
149,white grunt,4,1,7,17.94324
149,sergeant major,2,1,0,7.528017
149,bluehead wrasse,3,1,0,12.9106
149,striped parrotfish,5,1,0,24.92811
149,white grunt,5,1,3,24.92811
149,beaugregory,2,0,2,7.528017
149,bicolor damselfish,1,0,2,3.634207
149,bluestriped grunt,3,0,2,12.9106
149,bluestriped grunt,4,0,14,17.94324
149,bluestriped grunt,5,0,2,24.92811
149,bridled goby,1,0,5,3.634207
149,colon goby,1,0,2,3.634207
149,french grunt,1,0,1,3.634207
149,french grunt,2,0,122,7.528017
149,french grunt,3,0,4,12.9106
149,french grunt,4,0,1,17.94324
149,goldspot goby,1,0,3,3.634207
149,goldspot goby,2,0,1,7.528017
149,highhat,3,0,2,12.9106
149,puddingwife,2,0,2,7.528017
149,roughhead blenny,1,0,1,3.634207
149,sharpnose puffer,2,0,1,7.528017
149,stoplight parrotfish,1,0,4,3.634207
149,stoplight parrotfish,2,0,14,7.528017
149,stoplight parrotfish,3,0,3,12.9106
149,stoplight parrotfish,4,0,1,17.94324
149,striped parrotfish,3,0,3,12.9106
149,threespot damselfish,1,0,1,3.634207
149,threespot damselfish,2,0,7,7.528017
149,tomtate,4,0,1,17.94324
149,yellowhead wrasse,2,0,2,7.528017
149,yellowtail snapper,3,0,1,12.9106
150,cocoa damselfish,1,1,0,3.634207
150,ocean surgeonfish,4,2,0,17.94324
150,blue tang,2,1,0,7.528017
150,stoplight parrotfish,3,1,2,12.9106
150,gray snapper,5,7,0,24.92811
150,bar jack,2,1,0,7.528017
150,redband parrotfish,1,2,19,3.634207
150,striped parrotfish,1,1,1,3.634207
150,bar jack,3,19,0,12.9106
150,striped parrotfish,2,8,36,7.528017
150,yellowtail snapper,3,1,0,12.9106
150,clown wrasse,2,1,0,7.528017
150,black hamlet,3,1,0,12.9106
150,spotted moray,6,1,1,47.85287
150,slippery dick,1,1,0,3.634207
150,white grunt,2,1,14,7.528017
150,butter hamlet,3,1,0,12.9106
150,trumpetfish,6,1,2,47.85287
150,redband parrotfish,2,5,20,7.528017
150,striped parrotfish,3,2,0,12.9106
150,cocoa damselfish,2,1,0,7.528017
150,blue tang,3,1,1,12.9106
150,stoplight parrotfish,5,1,0,24.92811
150,redband parrotfish,3,1,3,12.9106
150,striped parrotfish,4,1,0,17.94324
150,bicolor damselfish,1,0,2,3.634207
150,bicolor damselfish,2,0,1,7.528017
150,black hamlet,2,0,2,7.528017
150,bluehead wrasse,2,0,21,7.528017
150,bluehead wrasse,3,0,2,12.9106
150,bluestriped grunt,3,0,1,12.9106
150,bluestriped grunt,4,0,2,17.94324
150,bluestriped grunt,5,0,2,24.92811
150,bridled goby,1,0,1,3.634207
150,butter hamlet,2,0,3,7.528017
150,colon goby,1,0,4,3.634207
150,dusky damselfish,1,0,1,3.634207
150,dusky damselfish,2,0,1,7.528017
150,foureye butterflyfish,2,0,1,7.528017
150,hogfish,3,0,1,12.9106
150,masked goby,1,0,14,3.634207
150,queen angelfish,3,0,1,12.9106
150,redband parrotfish,5,0,5,24.92811
150,redtail parrotfish,4,0,2,17.94324
150,roughhead blenny,1,0,5,3.634207
150,sand diver,5,0,1,24.92811
150,sharpnose puffer,1,0,1,3.634207
150,sharpnose puffer,2,0,2,7.528017
150,stoplight parrotfish,1,0,4,3.634207
150,stoplight parrotfish,2,0,14,7.528017
150,stoplight parrotfish,4,0,2,17.94324
150,threespot damselfish,2,0,7,7.528017
150,white grunt,3,0,4,12.9106
150,white grunt,4,0,21,17.94324
150,white grunt,5,0,1,24.92811
150,yellowhead wrasse,2,0,5,7.528017
150,yellowhead wrasse,4,0,1,17.94324
151,reef butterflyfish,3,2,0,12.9106
151,foureye butterflyfish,2,2,6,7.528017
151,spotted goatfish,4,2,0,17.94324
151,stoplight parrotfish,5,2,0,24.92811
151,sharpnose puffer,1,2,7,3.634207
151,french angelfish,6,2,0,47.85287
151,yellowhead wrasse,2,2,2,7.528017
151,ocean surgeonfish,3,3,1,12.9106
151,striped parrotfish,1,3,0,3.634207
151,bluehead wrasse,1,15,0,3.634207
151,bicolor damselfish,1,10,9,3.634207
151,princess parrotfish,5,6,2,24.92811
151,masked goby,1,47,782,3.634207
151,redtail parrotfish,1,1,0,3.634207
151,brown chromis,2,11.25,0,7.528017
151,blue chromis,1,14.25,0,3.634207
151,french grunt,2,1,0,7.528017
151,creole wrasse,1,1,0,3.634207
151,blue runner,5,75,0,24.92811
151,redtail parrotfish,2,0.75,0,7.528017
151,french grunt,3,9,7,12.9106
151,creole wrasse,2,29,0,7.528017
151,porkfish,5,1,2,24.92811
151,queen parrotfish,5,1,0,24.92811
151,rock beauty,2,1,1,7.528017
151,butter hamlet,1,1,0,3.634207
151,bridled goby,1,1,4,3.634207
151,clown wrasse,2,1,0,7.528017
151,tobaccofish,2,1,0,7.528017
151,hogfish,5,1,0,24.92811
151,greenblotch parrotfish,2,1,0,7.528017
151,spanish hogfish,4,2,0,17.94324
151,knobbed porgy,5,1,0,24.92811
151,chub sp.,6,1,0,47.85287
151,gray snapper,6,1,0,47.85287
151,longsnout butterflyfish,2,1,0,7.528017
151,redtail parrotfish,3,3.5,0,12.9106
151,redtail parrotfish,5,1.75,0,24.92811
151,brown chromis,3,3.75,0,12.9106
151,blue chromis,2,4.75,6,7.528017
151,blue runner,6,25,0,47.85287
151,yellowhead wrasse,3,1,0,12.9106
151,ocean surgeonfish,5,1,0,24.92811
151,striped parrotfish,2,1,0,7.528017
151,bluehead wrasse,2,1,0,7.528017
151,creole wrasse,3,1,0,12.9106
151,bicolor damselfish,2,0,10,7.528017
151,blue hamlet,2,0,1,7.528017
151,bridled goby,2,0,1,7.528017
151,french grunt,4,0,17,17.94324
151,goldspot goby,1,0,14,3.634207
151,goldspot goby,2,0,1,7.528017
151,graysby,3,0,1,12.9106
151,greenblotch parrotfish,1,0,1,3.634207
151,harlequin bass,1,0,1,3.634207
151,pallid goby,1,0,17,3.634207
151,princess parrotfish,3,0,1,12.9106
151,princess parrotfish,4,0,1,17.94324
151,purple reeffish,2,0,1,7.528017
151,redband parrotfish,1,0,5,3.634207
151,redband parrotfish,2,0,3,7.528017
151,redband parrotfish,4,0,1,17.94324
151,spotfin butterflyfish,3,0,2,12.9106
151,spotted drum,2,0,1,7.528017
151,spotted trunkfish,2,0,1,7.528017
151,white grunt,5,0,2,24.92811
152,ocean surgeonfish,3,2,0,12.9106
152,french grunt,4,2,1,17.94324
152,blue tang,3,1,0,12.9106
152,foureye butterflyfish,2,2,2,7.528017
152,reef butterflyfish,2,2,0,7.528017
152,gray angelfish,5,1,0,24.92811
152,creole wrasse,3,2,4,12.9106
152,rock beauty,3,1,0,12.9106
152,princess parrotfish,1,1,0,3.634207
152,graysby,2,1,0,7.528017
152,colon goby,1,3,0,3.634207
152,blue parrotfish,6,4,3,47.85287
152,bluehead wrasse,1,23.25,18,3.634207
152,blue chromis,2,8,4,7.528017
152,bicolor damselfish,1,24,9,3.634207
152,redband parrotfish,1,12.75,6,3.634207
152,yellowhead wrasse,1,3.75,8,3.634207
152,masked goby,1,13,159,3.634207
152,striped parrotfish,2,6,3,7.528017
152,blue runner,5,225,50,24.92811
152,goldspot goby,1,1,10,3.634207
152,spotted goatfish,4,1,0,17.94324
152,barred hamlet,2,1,0,7.528017
152,dusky damselfish,2,1,0,7.528017
152,harlequin bass,2,1,1,7.528017
152,white grunt,5,1,0,24.92811
152,clown wrasse,2,1,0,7.528017
152,sharpnose puffer,1,1,6,3.634207
152,banded butterflyfish,3,1,0,12.9106
152,rock beauty,4,1,0,17.94324
152,princess parrotfish,5,1,0,24.92811
152,graysby,3,1,0,12.9106
152,bluehead wrasse,2,7.75,38,7.528017
