session,site,species_order,family,binomial,species,size_bin,size_bin_lengths,predator_presence,habitat,octocoral,stony,relief_cm,nocturnal,position,behavior,max_length,colouration,cryptic_behaviour,trophic_position,shape,SVC_date,SVC_area,SVC_max_depth,SVC_density,pred_date,pred_depth,pred_area,pred_density,SVC_pred_difference,total_density,SVCpred_area_dif,log_difference,average_depth,pred_abundance,SVC_pred_abundance
148,BISC-W13,Perciformes,Epinephelidae,Cephalopholis fulva,coney,5,22.657,1,Continuous,30,2,29.5,1,demersal,solitary,41,neutral,1,carnivore,fusiform,2014-09-17,153.93804,55,0,2014-09-17,55,2000,0.001,-0.001,0.001,-1846.06196,-0.6931471805599454,55,2,0
148,BISC-W13,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,16.60974,1,Continuous,30,2,29.5,1,demersal,solitary,33,neutral,1,carnivore,fusiform,2014-09-17,153.93804,55,0.006496120127292773,2014-09-17,55,2000,0.0015,0.004996120127292773,0.007996120127292772,-1846.06196,1.0980948384528721,55,3,1
148,BISC-W13,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,5,22.657,1,Continuous,30,2,29.5,1,demersal,solitary,33,neutral,1,carnivore,fusiform,2014-09-17,153.93804,55,0,2014-09-17,55,2000,0.001,-0.001,0.001,-1846.06196,-0.6931471805599454,55,2,0
148,BISC-W13,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,6,42.62977,1,Continuous,30,2,29.5,1,demersal,solitary,33,neutral,1,carnivore,fusiform,2014-09-17,153.93804,55,0,2014-09-17,55,2000,5e-4,-5e-4,5e-4,-1846.06196,-0.4054651081081646,55,1,0
148,BISC-W13,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,5,22.657,1,Continuous,30,2,29.5,1,demersal,solitary,45.7,neutral,1,carnivore,fusiform,2014-09-17,153.93804,55,0,2014-09-17,55,2000,0.003,-0.003,0.003,-1846.06196,-1.3862943611198908,55,6,0
148,BISC-W13,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,6,42.62977,1,Continuous,30,2,29.5,1,demersal,solitary,45.7,neutral,1,carnivore,fusiform,2014-09-17,153.93804,55,0,2014-09-17,55,2000,0.001,-0.001,0.001,-1846.06196,-0.6931471805599454,55,2,0
148,BISC-W13,Perciformes,Lutjanidae,Lutjanus analis,mutton snapper,6,42.62977,1,Continuous,30,2,29.5,0,demersal,solitary,94,silvering,0,invertivore,fusiform,2014-09-17,153.93804,55,0,2014-09-17,55,2000,5e-4,-5e-4,5e-4,-1846.06196,-0.4054651081081646,55,1,0
148,BISC-W13,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,42.62977,1,Continuous,30,2,29.5,0,benthic,solitary,200,camouflage,1,carnivore,anguilliform,2014-09-17,153.93804,55,0.006496120127292773,2014-09-17,55,2000,5e-4,0.005996120127292772,0.006996120127292773,-1846.06196,1.6089204622188626,55,1,1
148,BISC-W13,Scorpaeniformes,Scorpaenidae,Scorpaena plumieri,spotted scorpionfish,5,22.657,1,Continuous,30,2,29.5,0,demersal,solitary,50,camouflage,1,carnivore,fusiform,2014-09-17,153.93804,55,0,2014-09-17,55,2000,5e-4,-5e-4,5e-4,-1846.06196,-0.4054651081081646,55,1,0
148,BISC-W13,Scorpaeniformes,Scorpaenidae,Scorpaena plumieri,spotted scorpionfish,6,42.62977,1,Continuous,30,2,29.5,0,demersal,solitary,50,camouflage,1,carnivore,fusiform,2014-09-17,153.93804,55,0,2014-09-17,55,2000,5e-4,-5e-4,5e-4,-1846.06196,-0.4054651081081646,55,1,0
149,BISC-P7a,Perciformes,Lutjanidae,Lutjanus cyanopterus,cubera snapper,6,42.62977,1,Patch,27,2,40.05714285714286,0,demersal,solitary,160,silvering,0,carnivore,fusiform,2014-09-18,78.53981634,11,0,2014-09-18,10,2520,3.968253968253968e-4,-3.968253968253968e-4,3.968253968253968e-4,-2441.46018366,-0.3342020880866734,10.5,1,0
149,BISC-P7a,Perciformes,Epinephelidae,Mycteroperca microlepis,gag grouper,6,42.62977,1,Patch,27,2,40.05714285714286,0,demersal,solitary,145,neutral,1,carnivore,fusiform,2014-09-18,78.53981634,11,0,2014-09-18,10,2520,3.968253968253968e-4,-3.968253968253968e-4,3.968253968253968e-4,-2441.46018366,-0.3342020880866734,10.5,1,0
149,BISC-P7a,Perciformes,Epinephelidae,Epinephelus morio,red grouper,6,42.62977,1,Patch,27,2,40.05714285714286,0,demersal,solitary,125,neutral,0,carnivore,fusiform,2014-09-18,78.53981634,11,0,2014-09-18,10,2520,3.968253968253968e-4,-3.968253968253968e-4,3.968253968253968e-4,-2441.46018366,-0.3342020880866734,10.5,1,0
149,BISC-P7a,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,5,22.657,1,Patch,27,2,40.05714285714286,0,benthic,solitary,200,camouflage,1,carnivore,anguilliform,2014-09-18,78.53981634,11,0,2014-09-18,10,2520,3.968253968253968e-4,-3.968253968253968e-4,3.968253968253968e-4,-2441.46018366,-0.3342020880866734,10.5,1,0
149,BISC-P7a,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,42.62977,1,Patch,27,2,40.05714285714286,0,benthic,solitary,200,camouflage,1,carnivore,anguilliform,2014-09-18,78.53981634,11,0.01273239544731026,2014-09-18,10,2520,7.936507936507937e-4,0.011938744653659466,0.013526046240961055,-2441.46018366,2.0355045803629297,10.5,2,1
150,BISC-P9a,Anguilliformes,Muraenidae,Gymnothorax miliaris,goldentail moray,6,42.62977,1,Patch,1,6,48.18181818181818,0,benthic,solitary,70,neutral,1,carnivore,anguilliform,2014-09-18,78.53981634,24,0,2014-09-18,24,2709,3.6913990402362494e-4,-3.6913990402362494e-4,3.6913990402362494e-4,-2630.46018366,-0.31418273540449526,24,1,0
150,BISC-P9a,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,5,22.657,1,Patch,1,6,48.18181818181818,1,demersal,solitary,33,neutral,1,carnivore,fusiform,2014-09-18,78.53981634,24,0,2014-09-18,24,2709,3.6913990402362494e-4,-3.6913990402362494e-4,3.6913990402362494e-4,-2630.46018366,-0.31418273540449526,24,1,0
150,BISC-P9a,Perciformes,Epinephelidae,Mycteroperca phenax,scamp,6,42.62977,1,Patch,1,6,48.18181818181818,0,demersal,solitary,107,neutral,0,carnivore,fusiform,2014-09-18,78.53981634,24,0,2014-09-18,24,2709,3.6913990402362494e-4,-3.6913990402362494e-4,3.6913990402362494e-4,-2630.46018366,-0.31418273540449526,24,1,0
150,BISC-P9a,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,42.62977,1,Patch,1,6,48.18181818181818,0,benthic,solitary,200,camouflage,1,carnivore,anguilliform,2014-09-18,78.53981634,24,0.01273239544731026,2014-09-18,24,2709,0,0.01273239544731026,0.01273239544731026,-2630.46018366,2.619757672683737,24,0,1
151,BISC-W60-2b,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,16.60974,1,Continuous,5,2,49.88461538461539,1,demersal,solitary,33,neutral,1,carnivore,fusiform,2014-09-18,153.93804,64,0,2014-09-18,62.5,2000,0.001,-0.001,0.001,-1846.06196,-0.6931471805599454,63.25,2,0
151,BISC-W60-2b,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,5,22.657,1,Continuous,5,2,49.88461538461539,1,demersal,solitary,33,neutral,1,carnivore,fusiform,2014-09-18,153.93804,64,0,2014-09-18,62.5,2000,0.0015,-0.0015,0.0015,-1846.06196,-0.9162907318741551,63.25,3,0
151,BISC-W60-2b,Anguilliformes,Muraenidae,Gymnothorax funebris,green moray,6,42.62977,1,Continuous,5,2,49.88461538461539,1,demersal,solitary,250,neutral,1,carnivore,anguilliform,2014-09-18,153.93804,64,0,2014-09-18,62.5,2000,5e-4,-5e-4,5e-4,-1846.06196,-0.4054651081081646,63.25,1,0
151,BISC-W60-2b,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,5,22.657,1,Continuous,5,2,49.88461538461539,0,benthic,solitary,200,camouflage,1,carnivore,anguilliform,2014-09-18,153.93804,64,0,2014-09-18,62.5,2000,5e-4,-5e-4,5e-4,-1846.06196,-0.4054651081081646,63.25,1,0
152,BISC-W60-6d,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,16.60974,1,Continuous,5,3,27.58974358974359,1,demersal,solitary,33,neutral,1,carnivore,fusiform,2014-09-18,153.93804,57,0,2014-09-18,56,2000,0.0015,-0.0015,0.0015,-1846.06196,-0.9162907318741551,56.5,3,0
152,BISC-W60-6d,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,5,22.657,1,Continuous,5,3,27.58974358974359,1,demersal,solitary,33,neutral,1,carnivore,fusiform,2014-09-18,153.93804,57,0.006496120127292773,2014-09-18,56,2000,0.005,0.0014961201272927728,0.011496120127292772,-1846.06196,0.22262610109897274,56.5,10,1
152,BISC-W60-6d,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,6,42.62977,1,Continuous,5,3,27.58974358974359,1,demersal,solitary,33,neutral,1,carnivore,fusiform,2014-09-18,153.93804,57,0,2014-09-18,56,2000,0.001,-0.001,0.001,-1846.06196,-0.6931471805599454,56.5,2,0
152,BISC-W60-6d,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,6,42.62977,1,Continuous,5,3,27.58974358974359,1,demersal,solitary,45.7,neutral,1,carnivore,fusiform,2014-09-18,153.93804,57,0,2014-09-18,56,2000,5e-4,-5e-4,5e-4,-1846.06196,-0.4054651081081646,56.5,1,0
152,BISC-W60-6d,Scorpaeniformes,Scorpaenidae,Scorpaena plumieri,spotted scorpionfish,6,42.62977,1,Continuous,5,3,27.58974358974359,0,demersal,solitary,50,camouflage,1,carnivore,fusiform,2014-09-18,153.93804,57,0,2014-09-18,56,2000,5e-4,-5e-4,5e-4,-1846.06196,-0.4054651081081646,56.5,1,0
153,BISC-P10a,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,5,22.657,1,Patch,10,10,66.3076923076923,1,demersal,solitary,33,neutral,1,carnivore,fusiform,2014-09-19,78.53981634,27,0,2014-09-19,26,2448,4.084967320261438e-4,-4.084967320261438e-4,4.084967320261438e-4,-2369.46018366,-0.3425229881513667,26.5,1,0
153,BISC-P10a,Perciformes,Epinephelidae,Epinephelus striatus,nassau grouper,6,42.62977,1,Patch,10,10,66.3076923076923,0,demersal,solitary,100,neutral,0,carnivore,fusiform,2014-09-19,78.53981634,27,0,2014-09-19,26,2448,4.084967320261438e-4,-4.084967320261438e-4,4.084967320261438e-4,-2369.46018366,-0.3425229881513667,26.5,1,0
153,BISC-P10a,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,42.62977,1,Patch,10,10,66.3076923076923,0,benthic,solitary,200,camouflage,1,carnivore,anguilliform,2014-09-19,78.53981634,27,0,2014-09-19,26,2448,0.0012254901960784314,-0.0012254901960784314,0.0012254901960784314,-2369.46018366,-0.7999772041971314,26.5,3,0
154,BISC-P14a,Perciformes,Epinephelidae,Mycteroperca microlepis,gag grouper,5,22.657,1,Patch,10,5,20.06896551724138,0,demersal,solitary,145,neutral,1,carnivore,fusiform,2014-09-19,78.53981634,10,0,2014-09-19,12,2940,3.401360544217687e-4,-3.401360544217687e-4,3.401360544217687e-4,-2861.46018366,-0.2927711419592516,11,1,0
154,BISC-P14a,Anguilliformes,Muraenidae,Gymnothorax vicinus,purplemouth moray,6,42.62977,1,Patch,10,5,20.06896551724138,0,demersal,solitary,122,neutral,1,carnivore,anguilliform,2014-09-19,78.53981634,10,0,2014-09-19,12,2940,3.401360544217687e-4,-3.401360544217687e-4,3.401360544217687e-4,-2861.46018366,-0.2927711419592516,11,1,0
154,BISC-P14a,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,42.62977,1,Patch,10,5,20.06896551724138,0,benthic,solitary,200,camouflage,1,carnivore,anguilliform,2014-09-19,78.53981634,10,0,2014-09-19,12,2940,0.0020408163265306124,-0.0020408163265306124,0.0020408163265306124,-2861.46018366,-1.1121260078348323,11,6,0
155,BISC-W60-11c,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,16.60974,1,Continuous,80,5,25.615384615384617,1,demersal,solitary,33,neutral,1,carnivore,fusiform,2014-09-19,153.93804,55,0.006496120127292773,2014-09-19,50,2000,0.001,0.005496120127292773,0.007496120127292773,-1846.06196,1.3212383897670819,52.5,2,1
155,BISC-W60-11c,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,5,22.657,1,Continuous,80,5,25.615384615384617,1,demersal,solitary,33,neutral,1,carnivore,fusiform,2014-09-19,153.93804,55,0,2014-09-19,50,2000,5e-4,-5e-4,5e-4,-1846.06196,-0.4054651081081646,52.5,1,0
155,BISC-W60-11c,Perciformes,Lutjanidae,Lutjanus analis,mutton snapper,6,42.62977,1,Continuous,80,5,25.615384615384617,0,demersal,solitary,94,silvering,0,invertivore,fusiform,2014-09-19,153.93804,55,0,2014-09-19,50,2000,5e-4,-5e-4,5e-4,-1846.06196,-0.4054651081081646,52.5,1,0
155,BISC-W60-11c,Perciformes,Epinephelidae,Epinephelus adscensionis,rock hind,6,42.62977,1,Continuous,80,5,25.615384615384617,0,demersal,solitary,60,neutral,1,invertivore,fusiform,2014-09-19,153.93804,55,0,2014-09-19,50,2000,5e-4,-5e-4,5e-4,-1846.06196,-0.4054651081081646,52.5,1,0
155,BISC-W60-11c,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,42.62977,1,Continuous,80,5,25.615384615384617,0,benthic,solitary,200,camouflage,1,carnivore,anguilliform,2014-09-19,153.93804,55,0,2014-09-19,50,2000,0.001,-0.001,0.001,-1846.06196,-0.6931471805599454,52.5,2,0
156,BISC-W60-4b,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,4,16.60974,1,Continuous,60,5,27.923076923076923,1,demersal,solitary,33,neutral,1,carnivore,fusiform,2014-09-19,153.93804,52,0,2014-09-19,53,2000,0.004,-0.004,0.004,-1846.06196,-1.6094379124341005,52.5,8,0
156,BISC-W60-4b,Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,5,22.657,1,Continuous,60,5,27.923076923076923,1,demersal,solitary,33,neutral,1,carnivore,fusiform,2014-09-19,153.93804,52,0,2014-09-19,53,2000,0.0015,-0.0015,0.0015,-1846.06196,-0.9162907318741551,52.5,3,0
156,BISC-W60-4b,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,5,22.657,1,Continuous,60,5,27.923076923076923,1,demersal,solitary,45.7,neutral,1,carnivore,fusiform,2014-09-19,153.93804,52,0,2014-09-19,53,2000,0.001,-0.001,0.001,-1846.06196,-0.6931471805599454,52.5,2,0
156,BISC-W60-4b,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,42.62977,1,Continuous,60,5,27.923076923076923,0,benthic,solitary,200,camouflage,1,carnivore,anguilliform,2014-09-19,153.93804,52,0,2014-09-19,53,2000,0.001,-0.001,0.001,-1846.06196,-0.6931471805599454,52.5,2,0
156,BISC-W60-4b,Scorpaeniformes,Scorpaenidae,Scorpaena plumieri,spotted scorpionfish,6,42.62977,1,Continuous,60,5,27.923076923076923,0,demersal,solitary,50,camouflage,1,carnivore,fusiform,2014-09-19,153.93804,52,0,2014-09-19,53,2000,5e-4,-5e-4,5e-4,-1846.06196,-0.4054651081081646,52.5,1,0
157,Dixie Ledge,Perciformes,Epinephelidae,Mycteroperca bonaci,black grouper,6,42.62977,1,Continuous,30,5,48.34615384615385,0,demersal,solitary,152,neutral,0,carnivore,fusiform,2014-09-22,153.93804,60,0,2014-09-22,51,2000,5e-4,-5e-4,5e-4,-1846.06196,-0.4054651081081646,55.5,1,0
157,Dixie Ledge,Scorpaeniformes,Scorpaenidae,Pterois volitans,lionfish,5,22.657,1,Continuous,30,5,48.34615384615385,1,demersal,solitary,45.7,neutral,1,carnivore,fusiform,2014-09-22,153.93804,60,0,2014-09-22,51,2000,5e-4,-5e-4,5e-4,-1846.06196,-0.4054651081081646,55.5,1,0
157,Dixie Ledge,Perciformes,Lutjanidae,Lutjanus analis,mutton snapper,5,22.657,1,Continuous,30,5,48.34615384615385,0,demersal,solitary,94,silvering,0,invertivore,fusiform,2014-09-22,153.93804,60,0,2014-09-22,51,2000,5e-4,-5e-4,5e-4,-1846.06196,-0.4054651081081646,55.5,1,0
157,Dixie Ledge,Perciformes,Epinephelidae,Epinephelus striatus,nassau grouper,6,42.62977,1,Continuous,30,5,48.34615384615385,0,demersal,solitary,100,neutral,0,carnivore,fusiform,2014-09-22,153.93804,60,0,2014-09-22,51,2000,5e-4,-5e-4,5e-4,-1846.06196,-0.4054651081081646,55.5,1,0
158,KL-P6,Perciformes,Epinephelidae,Mycteroperca microlepis,gag grouper,6,42.62977,1,Patch,50,10,54.58333333333333,0,demersal,solitary,145,neutral,1,carnivore,fusiform,2014-09-22,78.53981634,20,0,2014-09-22,20,399,0.002506265664160401,-0.002506265664160401,0.002506265664160401,-320.46018366,-1.2545515577756179,20,1,0
158,KL-P6,Anguilliformes,Muraenidae,Gymnothorax vicinus,purplemouth moray,6,42.62977,1,Patch,50,10,54.58333333333333,0,demersal,solitary,122,neutral,1,carnivore,anguilliform,2014-09-22,78.53981634,20,0,2014-09-22,20,399,0.002506265664160401,-0.002506265664160401,0.002506265664160401,-320.46018366,-1.2545515577756179,20,1,0
158,KL-P6,Perciformes,Epinephelidae,Epinephelus morio,red grouper,6,42.62977,1,Patch,50,10,54.58333333333333,0,demersal,solitary,125,neutral,0,carnivore,fusiform,2014-09-22,78.53981634,20,0,2014-09-22,20,399,0.002506265664160401,-0.002506265664160401,0.002506265664160401,-320.46018366,-1.2545515577756179,20,1,0
158,KL-P6,Anguilliformes,Muraenidae,Gymnothorax moringa,spotted moray,6,42.62977,1,Patch,50,10,54.58333333333333,0,benthic,solitary,200,camouflage,1,carnivore,anguilliform,2014-09-22,78.53981634,20,0,2014-09-22,20,399,0.007518796992481203,-0.007518796992481203,0.007518796992481203,-320.46018366,-2.142275132806252,20,3,0
159,KL-P7,Perciformes,Epinephelidae,Mycteroperca bonaci,black grouper,6,42.62977,1,Patch,70,10,56.27777777777778,0,demersal,solitary,152,neutral,0,carnivore,fusiform,2014-09-22,78.53981634,20,0.01273239544731026,2014-09-22,15,1606.5,6.224712107065049e-4,0.012109924236603755,0.013354866658016766,-1527.96018366,2.13580724703149,17.5,1,1
159,KL-P7,Perciformes,Epinephelidae,Epinephelus morio,red grouper,5,22.657,1,Patch,70,10,56.27777777777778,0,demersal,solitary,125,neutral,0,carnivore,fusiform,2014-09-22,78.53981634,20,0,2014-09-22,15,1606.5,6.224712107065049e-4,-6.224712107065049e-4,6.224712107065049e-4,-1527.96018366,-0.4839504256522469,17.5,1,0
159,KL-P7,Perciformes,Epinephelidae,Epinephelus morio,red grouper,6,42.62977,1,Patch,70,10,56.27777777777778,0,demersal,solitary,125,neutral,0,carnivore,fusiform,2014-09-22,78.53981634,20,0,2014-09-22,15,1606.5,0.0018674136321195146,-0.0018674136321195146,0.0018674136321195146,-1527.96018366,-1.0534104499930734,17.5,3,0
